index,name,address,description,latitude,longitude,level
0,스카이라인루지 통영,경상남도 통영시 도남동 발개로 178 KR,모든 연령대가 즐기기 좋은 언덕 위 구불구불한 1.5km 카트 라이딩 코스로 도시와 바다가 보이는 리프트도 있습니다.,34.8234838,128.424874,4
1,동피랑 벽화마을,경상남도 통영시 동호동 동피랑1길 6-18,"언덕 위에 다채로운 주택과 골목이 어우러진 곳으로, 동물, 꽃, 만화 캐릭터를 그린 벽화를 볼 수 있습니다.",34.845296036273645,128.42763796663198,4
3,통영해저터널,경상남도 통영시 당동 1-3,"동양 최초의 해저터널 이다. 통영반도 남단과 미륵도를 연결하는 해저터널은 만조 기준으로 수심 13.5m 아래에 건설되었다.",34.8345493,128.4101878,4
4,이순신공원,경상남도 통영시 멘데해안길 205,"전망대, 문화 센터, 존경받는 장군 동상이 있는 해상공원입니다.",34.7446531,127.68002837636234,4
5,서피랑,경상남도 통영시 명정동 204-9,"아름다운 벽화와 함께. 음악과 문학이 공존하는 달동네. 해마다 통영을 찾는 사람들이 계속 늘어날 만큼 통영은 여행자들이 즐겨 찾는 도시다.",34.8445685,128.4208969,4
8,우도,경상남도 통영시 욕지면 연화리,"이 섬은 순박한 섬의 향취가 그대로 살아있는 전형적인 어촌마을로, 잘 알려지지 않은 '신비의 섬'이다.",37.6089291,125.9754156269408,4
9,소매물도등대,경상남도 통영시 한산면 소매물도길 246,",",34.6196273,128.5479852,4
10,매물도,경상남도 통영시 한산면 매죽리,",",34.52179005,125.68570601064852,4
11,통영중앙전통시장,경상남도 통영시 중앙동 중앙시장1길 14-16,",",34.84523455,128.42457572126435,4
12,통영대교,경상남도 통영시 미수동,",",34.8314955,128.4048433,4
13,통영시,경상남도 통영시,",",34.854254,128.433205,4
