,0,1
0,구례 산수유마을,전라남도 구례군 산동면 위안월계길 6-12
1,구례자연드림파크,전라남도 구례군 용방면 죽정리 920
2,구례관광특구,"전남 구례군 토지면 , 마산면, 광의면, 산동면"
3,천은사,전라남도 구례군 광의면 노고단로 209
4,임걸령,전라남도 구례군 토지면 내동리
5,용지동계곡,전라남도 구례군 간전면 금산리
6,사성암,전라남도 구례군 문척면 사성암길 303
7,섬진강 대나무숲길,전라남도 구례군 구례읍 봉서리 588
8,산수유마을,전라남도 구례군 산동면 계천리 711
9,산수유사랑공원,전라남도 구례군 산동면 좌사리 839-3
10,구례 오산 사성암 일원,"35° 10′ 46.86″ N, 28′ 50.78″ E, 127 원방리 구례읍 구례군 전라남도"
11,지리산연곡사,"35° 10′ 46.86″ N, 28′ 50.78″ E, 127 원방리 구례읍 구례군 전라남도"
12,곡성섬진강천문대,전라남도 구례군 구례읍 섬진강로 1234
13,수락폭포,전라남도 구례군 산동면 수기리
